panel,release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,rate_lower_per_100k,rate_upper_per_100k,point_rate_per_100k,rank_best_possible,rank_worst_possible,ranking_status,suppression_subtype
A_rate_bounds,No.2,2015,IND_5210011,根充済み,27,大阪府,2709.1074,2709.1074,2709.1074,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,28,兵庫県,367.9494,367.9494,367.9494,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,29,奈良県,312.9765,312.9765,312.9765,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,30,和歌山県,373.9627,373.9627,373.9627,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,31,鳥取県,216.0558,216.0558,216.0558,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,32,島根県,146.3977,146.3977,146.3977,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,33,岡山県,443.8606,443.8606,443.8606,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,34,広島県,207.4543,207.4543,207.4543,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,35,山口県,462.2776,462.2776,462.2776,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,36,徳島県,146.5608,146.5608,146.5608,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,37,香川県,686.2705,686.2705,686.2705,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,38,愛媛県,333.7184,333.7184,333.7184,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,39,高知県,289.4231,289.4231,289.4231,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,40,福岡県,51.274,51.274,51.274,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,41,佐賀県,61.1044,61.1044,61.1044,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,42,長崎県,345.6064,345.6064,345.6064,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,43,熊本県,142.8331,142.8331,142.8331,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,44,大分県,120.8405,120.8405,120.8405,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,45,宮崎県,17.7536,17.7536,17.7536,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,46,鹿児島県,3816.9903,3816.9903,3816.9903,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,47,沖縄県,53.0683,53.0683,53.0683,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,01,北海道,307.0815,307.0815,307.0815,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,02,青森県,473.6272,473.6272,473.6272,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,03,岩手県,91.5615,91.5615,91.5615,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,04,宮城県,108.97,108.97,108.97,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,05,秋田県,170.5941,170.5941,170.5941,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,06,山形県,353.1896,353.1896,353.1896,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,07,福島県,378.485,378.485,378.485,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,08,茨城県,270.5336,270.5336,270.5336,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,09,栃木県,298.9827,298.9827,298.9827,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,10,群馬県,576.1566,576.1566,576.1566,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,11,埼玉県,245.26,245.26,245.26,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,12,千葉県,103.0468,103.0468,103.0468,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,13,東京都,194.084,194.084,194.084,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,14,神奈川県,219.825,219.825,219.825,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,15,新潟県,5739.2826,5739.2826,5739.2826,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,16,富山県,834.7785,834.7785,834.7785,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,17,石川県,93.6577,93.6577,93.6577,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,18,福井県,141.9437,141.9437,141.9437,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,19,山梨県,79.0361,79.0361,79.0361,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,20,長野県,665.3257,665.3257,665.3257,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,21,岐阜県,126.9041,126.9041,126.9041,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,22,静岡県,247.7766,247.7766,247.7766,,,point_identified,not_suppressed
A_rate_bounds,No.3,2016,IND_5210011,根充済み,23,愛知県,113.534,113.534,113.534,,,point_identified,not_suppressed
