release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,population,cell_state,suppression_subtype,count_lower,count_upper,rate_lower_per_100k,rate_upper_per_100k,rate_status
No.1,2014,IND_8843319,限局型若年性歯周炎,28,兵庫県,5541074,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,29,奈良県,1375783,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,30,和歌山県,971165,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,31,鳥取県,573940,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,32,島根県,696516,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,33,岡山県,1924147,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,34,広島県,2833320,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,35,山口県,1408178,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,36,徳島県,763864,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,37,香川県,981082,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,38,愛媛県,1395483,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,39,高知県,737737,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,40,福岡県,5091106,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,41,佐賀県,835040,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,42,長崎県,1386468,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,43,熊本県,1794091,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,44,大分県,1171061,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,45,宮崎県,1114109,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,46,鹿児島県,1667830,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,47,沖縄県,1420865,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5210011,根充済み,01,北海道,5382000,observed,not_suppressed,16380.0,16380.0,304.3478,304.3478,point_identified
No.2,2015,IND_5210011,根充済み,02,青森県,1308000,observed,not_suppressed,6594.0,6594.0,504.1284,504.1284,point_identified
No.2,2015,IND_5210011,根充済み,03,岩手県,1280000,observed,not_suppressed,1587.0,1587.0,123.9844,123.9844,point_identified
No.2,2015,IND_5210011,根充済み,04,宮城県,2334000,observed,not_suppressed,2353.0,2353.0,100.8141,100.8141,point_identified
No.2,2015,IND_5210011,根充済み,05,秋田県,1023000,observed,not_suppressed,1738.0,1738.0,169.8925,169.8925,point_identified
No.2,2015,IND_5210011,根充済み,06,山形県,1124000,observed,not_suppressed,3764.0,3764.0,334.8754,334.8754,point_identified
No.2,2015,IND_5210011,根充済み,07,福島県,1914000,observed,not_suppressed,7160.0,7160.0,374.0857,374.0857,point_identified
No.2,2015,IND_5210011,根充済み,08,茨城県,2917000,observed,not_suppressed,7807.0,7807.0,267.638,267.638,point_identified
No.2,2015,IND_5210011,根充済み,09,栃木県,1974000,observed,not_suppressed,6126.0,6126.0,310.3343,310.3343,point_identified
No.2,2015,IND_5210011,根充済み,10,群馬県,1973000,observed,not_suppressed,11335.0,11335.0,574.5058,574.5058,point_identified
No.2,2015,IND_5210011,根充済み,11,埼玉県,7267000,observed,not_suppressed,17794.0,17794.0,244.8603,244.8603,point_identified
No.2,2015,IND_5210011,根充済み,12,千葉県,6223000,observed,not_suppressed,6239.0,6239.0,100.2571,100.2571,point_identified
No.2,2015,IND_5210011,根充済み,13,東京都,13515000,observed,not_suppressed,27119.0,27119.0,200.6585,200.6585,point_identified
No.2,2015,IND_5210011,根充済み,14,神奈川県,9126000,observed,not_suppressed,20338.0,20338.0,222.8578,222.8578,point_identified
No.2,2015,IND_5210011,根充済み,15,新潟県,2304000,observed,not_suppressed,134724.0,134724.0,5847.3958,5847.3958,point_identified
No.2,2015,IND_5210011,根充済み,16,富山県,1066000,observed,not_suppressed,8644.0,8644.0,810.8818,810.8818,point_identified
No.2,2015,IND_5210011,根充済み,17,石川県,1154000,observed,not_suppressed,1005.0,1005.0,87.0884,87.0884,point_identified
No.2,2015,IND_5210011,根充済み,18,福井県,787000,observed,not_suppressed,1098.0,1098.0,139.5172,139.5172,point_identified
No.2,2015,IND_5210011,根充済み,19,山梨県,835000,observed,not_suppressed,989.0,989.0,118.4431,118.4431,point_identified
No.2,2015,IND_5210011,根充済み,20,長野県,2099000,observed,not_suppressed,16101.0,16101.0,767.0796,767.0796,point_identified
No.2,2015,IND_5210011,根充済み,21,岐阜県,2032000,observed,not_suppressed,2636.0,2636.0,129.7244,129.7244,point_identified
No.2,2015,IND_5210011,根充済み,22,静岡県,3700000,observed,not_suppressed,8462.0,8462.0,228.7027,228.7027,point_identified
No.2,2015,IND_5210011,根充済み,23,愛知県,7483000,observed,not_suppressed,9055.0,9055.0,121.0076,121.0076,point_identified
No.2,2015,IND_5210011,根充済み,24,三重県,1816000,observed,not_suppressed,4828.0,4828.0,265.859,265.859,point_identified
No.2,2015,IND_5210011,根充済み,25,滋賀県,1413000,observed,not_suppressed,1695.0,1695.0,119.9575,119.9575,point_identified
No.2,2015,IND_5210011,根充済み,26,京都府,2610000,observed,not_suppressed,4572.0,4572.0,175.1724,175.1724,point_identified
No.2,2015,IND_5210011,根充済み,27,大阪府,8839000,observed,not_suppressed,239458.0,239458.0,2709.1074,2709.1074,point_identified
No.2,2015,IND_5210011,根充済み,28,兵庫県,5535000,observed,not_suppressed,20366.0,20366.0,367.9494,367.9494,point_identified
No.2,2015,IND_5210011,根充済み,29,奈良県,1364000,observed,not_suppressed,4269.0,4269.0,312.9765,312.9765,point_identified
No.2,2015,IND_5210011,根充済み,30,和歌山県,964000,observed,not_suppressed,3605.0,3605.0,373.9627,373.9627,point_identified
No.2,2015,IND_5210011,根充済み,31,鳥取県,573000,observed,not_suppressed,1238.0,1238.0,216.0558,216.0558,point_identified
No.2,2015,IND_5210011,根充済み,32,島根県,694000,observed,not_suppressed,1016.0,1016.0,146.3977,146.3977,point_identified
No.2,2015,IND_5210011,根充済み,33,岡山県,1922000,observed,not_suppressed,8531.0,8531.0,443.8606,443.8606,point_identified
No.2,2015,IND_5210011,根充済み,34,広島県,2844000,observed,not_suppressed,5900.0,5900.0,207.4543,207.4543,point_identified
No.2,2015,IND_5210011,根充済み,35,山口県,1405000,observed,not_suppressed,6495.0,6495.0,462.2776,462.2776,point_identified
No.2,2015,IND_5210011,根充済み,36,徳島県,756000,observed,not_suppressed,1108.0,1108.0,146.5608,146.5608,point_identified
No.2,2015,IND_5210011,根充済み,37,香川県,976000,observed,not_suppressed,6698.0,6698.0,686.2705,686.2705,point_identified
No.2,2015,IND_5210011,根充済み,38,愛媛県,1385000,observed,not_suppressed,4622.0,4622.0,333.7184,333.7184,point_identified
No.2,2015,IND_5210011,根充済み,39,高知県,728000,observed,not_suppressed,2107.0,2107.0,289.4231,289.4231,point_identified
No.2,2015,IND_5210011,根充済み,40,福岡県,5102000,observed,not_suppressed,2616.0,2616.0,51.274,51.274,point_identified
No.2,2015,IND_5210011,根充済み,41,佐賀県,833000,observed,not_suppressed,509.0,509.0,61.1044,61.1044,point_identified
No.2,2015,IND_5210011,根充済み,42,長崎県,1377000,observed,not_suppressed,4759.0,4759.0,345.6064,345.6064,point_identified
