fiscal_year,population_year_or_date,prefecture_code,prefecture_name,population,source_name,source_path_or_url,denominator_definition,notes
2015,2015-10-01,09,栃木県,1974000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,10,群馬県,1973000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,11,埼玉県,7267000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,12,千葉県,6223000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,13,東京都,13515000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,14,神奈川県,9126000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,15,新潟県,2304000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,16,富山県,1066000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,17,石川県,1154000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,18,福井県,787000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
