release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,rate_lower_per_100k,rate_upper_per_100k,rank_best_possible,rank_worst_possible,rank_interval_width,ranking_status,ambiguity_context
No.2,2015,IND_5210011,根充済み,01,北海道,304.3478,304.3478,19.0,19.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,02,青森県,504.1284,504.1284,8.0,8.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,03,岩手県,123.9844,123.9844,36.0,36.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,04,宮城県,100.8141,100.8141,41.0,41.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,05,秋田県,169.8925,169.8925,30.0,30.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,06,山形県,334.8754,334.8754,15.0,15.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,07,福島県,374.0857,374.0857,11.0,11.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,08,茨城県,267.638,267.638,21.0,21.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,09,栃木県,310.3343,310.3343,18.0,18.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,10,群馬県,574.5058,574.5058,7.0,7.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,11,埼玉県,244.8603,244.8603,23.0,23.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,12,千葉県,100.2571,100.2571,42.0,42.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,13,東京都,200.6585,200.6585,28.0,28.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,14,神奈川県,222.8578,222.8578,25.0,25.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,15,新潟県,5847.3958,5847.3958,1.0,1.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,16,富山県,810.8818,810.8818,4.0,4.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,17,石川県,87.0884,87.0884,43.0,43.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,18,福井県,139.5172,139.5172,34.0,34.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,19,山梨県,118.4431,118.4431,40.0,40.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,20,長野県,767.0796,767.0796,5.0,5.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,21,岐阜県,129.7244,129.7244,35.0,35.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,22,静岡県,228.7027,228.7027,24.0,24.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,23,愛知県,121.0076,121.0076,37.0,37.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,24,三重県,265.859,265.859,22.0,22.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,25,滋賀県,119.9575,119.9575,39.0,39.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,26,京都府,175.1724,175.1724,29.0,29.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,27,大阪府,2709.1074,2709.1074,3.0,3.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,28,兵庫県,367.9494,367.9494,13.0,13.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,29,奈良県,312.9765,312.9765,17.0,17.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,30,和歌山県,373.9627,373.9627,12.0,12.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,31,鳥取県,216.0558,216.0558,26.0,26.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,32,島根県,146.3977,146.3977,32.0,32.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,33,岡山県,443.8606,443.8606,10.0,10.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,34,広島県,207.4543,207.4543,27.0,27.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,35,山口県,462.2776,462.2776,9.0,9.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,36,徳島県,146.5608,146.5608,31.0,31.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,37,香川県,686.2705,686.2705,6.0,6.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,38,愛媛県,333.7184,333.7184,16.0,16.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,39,高知県,289.4231,289.4231,20.0,20.0,0.0,stable_point_identified,
