release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,cell_state,suppression_subtype,observed_count,count_lower,count_upper,bounds_status,ambiguity_flag
No.2,2015,IND_5210011,根充済み,21,岐阜県,observed,not_suppressed,2636.0,2636.0,2636.0,point_identified,no
No.2,2015,IND_5210011,根充済み,22,静岡県,observed,not_suppressed,8462.0,8462.0,8462.0,point_identified,no
No.2,2015,IND_5210011,根充済み,23,愛知県,observed,not_suppressed,9055.0,9055.0,9055.0,point_identified,no
No.2,2015,IND_5210011,根充済み,24,三重県,observed,not_suppressed,4828.0,4828.0,4828.0,point_identified,no
No.2,2015,IND_5210011,根充済み,25,滋賀県,observed,not_suppressed,1695.0,1695.0,1695.0,point_identified,no
No.2,2015,IND_5210011,根充済み,26,京都府,observed,not_suppressed,4572.0,4572.0,4572.0,point_identified,no
No.2,2015,IND_5210011,根充済み,27,大阪府,observed,not_suppressed,239458.0,239458.0,239458.0,point_identified,no
No.2,2015,IND_5210011,根充済み,28,兵庫県,observed,not_suppressed,20366.0,20366.0,20366.0,point_identified,no
No.2,2015,IND_5210011,根充済み,29,奈良県,observed,not_suppressed,4269.0,4269.0,4269.0,point_identified,no
No.2,2015,IND_5210011,根充済み,30,和歌山県,observed,not_suppressed,3605.0,3605.0,3605.0,point_identified,no
No.2,2015,IND_5210011,根充済み,31,鳥取県,observed,not_suppressed,1238.0,1238.0,1238.0,point_identified,no
No.2,2015,IND_5210011,根充済み,32,島根県,observed,not_suppressed,1016.0,1016.0,1016.0,point_identified,no
No.2,2015,IND_5210011,根充済み,33,岡山県,observed,not_suppressed,8531.0,8531.0,8531.0,point_identified,no
No.2,2015,IND_5210011,根充済み,34,広島県,observed,not_suppressed,5900.0,5900.0,5900.0,point_identified,no
No.2,2015,IND_5210011,根充済み,35,山口県,observed,not_suppressed,6495.0,6495.0,6495.0,point_identified,no
No.2,2015,IND_5210011,根充済み,36,徳島県,observed,not_suppressed,1108.0,1108.0,1108.0,point_identified,no
No.2,2015,IND_5210011,根充済み,37,香川県,observed,not_suppressed,6698.0,6698.0,6698.0,point_identified,no
No.2,2015,IND_5210011,根充済み,38,愛媛県,observed,not_suppressed,4622.0,4622.0,4622.0,point_identified,no
No.2,2015,IND_5210011,根充済み,39,高知県,observed,not_suppressed,2107.0,2107.0,2107.0,point_identified,no
No.2,2015,IND_5210011,根充済み,40,福岡県,observed,not_suppressed,2616.0,2616.0,2616.0,point_identified,no
No.2,2015,IND_5210011,根充済み,41,佐賀県,observed,not_suppressed,509.0,509.0,509.0,point_identified,no
No.2,2015,IND_5210011,根充済み,42,長崎県,observed,not_suppressed,4759.0,4759.0,4759.0,point_identified,no
No.2,2015,IND_5210011,根充済み,43,熊本県,observed,not_suppressed,2551.0,2551.0,2551.0,point_identified,no
No.2,2015,IND_5210011,根充済み,44,大分県,observed,not_suppressed,1409.0,1409.0,1409.0,point_identified,no
No.2,2015,IND_5210011,根充済み,45,宮崎県,observed,not_suppressed,196.0,196.0,196.0,point_identified,no
No.2,2015,IND_5210011,根充済み,46,鹿児島県,observed,not_suppressed,62904.0,62904.0,62904.0,point_identified,no
No.2,2015,IND_5210011,根充済み,47,沖縄県,observed,not_suppressed,761.0,761.0,761.0,point_identified,no
No.2,2015,IND_5220077,血行性歯髄炎,01,北海道,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,02,青森県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,03,岩手県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,04,宮城県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,05,秋田県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,06,山形県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,07,福島県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,08,茨城県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,09,栃木県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
